SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20622,1,목포항구축제,문화공연,축제,697,13641,14338,20231021
20623,2,대전사이언스페스티벌,문화공연,축제,780,13336,14116,20231021
20624,3,보은대추축제,문화공연,축제,461,11795,12256,20231021
20625,4,여주오곡나루축제,문화공연,축제,453,9273,9726,20231021
20626,5,익산천만송이국화축제,문화공연,축제,489,8258,8747,20231021
20627,6,강경젓갈축제,문화공연,축제,273,8263,8536,20231021
20628,7,이천쌀문화축제,문화공연,축제,261,4790,5051,20231021
20629,8,라라라페스티벌,문화공연,축제,286,4261,4547,20231021
20630,9,고창모양성제,문화공연,축제,232,4243,4475,20231021
20631,10,세종대왕과초정약수축제,문화공연,축제,170,2706,2876,20231021
