SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20662,1,익산천만송이국화축제,문화공연,축제,791,4840,5631,20231025
20663,2,금산인삼축제,문화공연,축제,260,1565,1825,20231025
20664,3,장미꽃필무렵,문화공연,축제,200,1407,1607,20231025
20665,4,부산고등어축제,문화공연,축제,324,1168,1492,20231025
20666,5,보은대추축제,문화공연,축제,155,1271,1426,20231025
20667,6,월출산국화축제,문화공연,축제,245,1060,1305,20231025
20668,7,서산국화축제,문화공연,축제,196,1101,1297,20231025
20669,8,서면빛축제,문화공연,축제,259,706,965,20231025
20670,9,대한민국국향대전,문화공연,축제,236,710,946,20231025
20671,10,이천인삼축제,문화공연,축제,163,617,780,20231025
