ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO22N000001,행사,행사,춘천연극제,강원도,춘천시,4211010700,옥천동,4211058000,소양동,4.21E+11,강원도 춘천시 서부대성로 71,24264,라사203869,127.73137,37.882374,봄내극장+석사천,2022-06-15,2022-10-29,코미디경연작+초청작+소소연극제+가족극+살롱연극+거리공연,(사)춘천연극제,(사)춘천연극제,강원도 춘천시청,033-241-4345,http://www.citf.or.kr/,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000002,행사,행사,제34회 춘천인형극제,강원도,춘천시,4211011900,사농동,4211070500,신사우동,4.21E+11,강원도 춘천시 영서로 3017,24235,라사193912,127.720105,37.921016,춘천인형극장+축제극장몸짓,2022-04-04,2022-12-25,국내외 인형극 공연 관람+경연대회+퍼레이드,(재)춘천인형극제,강원도 춘천시청+(재)춘천인형극제,문화체육관광부+강원도청,033-250-4391,http://www.cocobau.com/,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000003,행사,행사,인형극아카데미,강원도,춘천시,4211011900,사농동,4211070500,신사우동,4.21E+11,강원도 춘천시 영서로 3017,24235,라사193912,127.720105,37.921016,춘천인형극장,2022-03-01,2022-05-31,찾아가는 인형극 공연+국내외 초청작 인형극 공연+커튼콜 개최(온라인공연 인기작 3팀 무대 공연),(재)춘천인형극제,강원도 춘천시청+(재)춘천인형극제,문화체육관광부+강원도청,033-250-3067,http://www.cocobau.com/,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000004,행사,행사,마임아카데미,강원도,춘천시,4211011200,효자동,4211062000,효자1동,4.21E+11,강원도 춘천시 춘천로 112,24336,라사200859,127.727838,37.873097,축제극장 몸짓+춘천공연예술연습공간,2022-03-29,2022-11-30,몸짓배우+시민배우+청년기획자 과정,(사)춘천마임축제,(사)춘천마임축제,강원도 춘천시청,033-242-0585,http://www.mimefestival.com/,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000005,행사,행사,춘천마임축제,강원도,춘천시,4211011200,효자동,4211062000,효자1동,4.21E+11,강원도 춘천시 춘천로 112,24336,라사200859,127.727838,37.873097,"명동, 공지천 의암공원+삼악산 케이블카 임시주차장",2022-05-22,2022-05-29,Rock&Rock 공연+극장공연+불의도시 도깨비난장,(사)춘천마임축제,(사)춘천마임축제,강원도 춘천시청,033-242-0585,http://www.mimefestival.com/,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000006,행사,행사,한여름밤의 아리아,강원도,춘천시,4211011400,소양로2가,4211058000,소양동,4.21E+11,강원도 춘천시 서부대성로 12,24272,라사197872,127.724649,37.884815,KT&G 상상마당 야외공연,2022-07-31,2022-07-31,국내외 정상급 성악공연,(사)강원민예총 춘천지부,(사)강원민예총 춘천지부,강원도 춘천시청,033-251-8907,https://m.facebook.com/chuncheonart777,,2022-08-26,4180000,강원도 춘천시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000007,행사,행사,제23회 용전들노래 정기공연,광주광역시,북구,2917013600,용전동,2917069500,건국동,2.92E+11,광주광역시 북구 용전마을길 42(용전동),61042,다라451938,126.8973084,35.23893658,용전동 용전마을 일원,2022-07-23,2022-07-23,"용전들노래재현+체험마당, 공연 등",사)용전들노래보존회,광주광역시 북구,,062-410-8369,https://bukgu.gwangju.kr/board.es?mid=a10201110000&bid=0315,,2022-09-27,3620000,광주광역시 북구,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
KC488PO22N000008,행사,행사,왕버들기원제,,,,,,,,,,다라545878,127.000917,35.18482092,충효동 일원,2022-11-16,2022-11-16,왕버들기원제,충효역사마을발전협의회,광주광역시 북구,,062-410-8369,https://bukgu.gwangju.kr/board.es?mid=a10201110000&bid=0315,,2022-09-27,3620000,광주광역시 북구,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
KC488PO22N000009,행사,행사,생생문화재,,,,,,,,,,다라545878,127.000917,35.18482092,충효동 일원,2022-04-11,2022-11-30,지역문화재활용 체험프로그램(김덕령장군),광주문화자치회의,문화재청+광주광역시 북구+광주광역시,,062-410-8369,http://www.munhwahouse.or.kr/bbs/board.php?bo_table=bch_program&sca=생생문화재,,2022-09-27,3620000,광주광역시 북구,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
KC488PO22N000010,행사,행사,전통산사문화재,광주광역시,북구,2917012000,금곡동,2917068500,석곡동,2.92E+11,광주광역시 북구 무등로 1514-35,61147,다라531838,126.985744,35.14863464,원효사 일원,2022-04-11,2022-11-30,원효사일대 체험 프로그램,원효사,문화재청+광주광역시 북구+광주광역시,,062-410-8369,https://www.wonhyosa.org/171,,2022-09-27,3620000,광주광역시 북구,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
KC488PO22N000011,행사,행사,법성포단오제,전라남도,영광군,4687037021,법성면 진내리,4687037000,법성면,4.69E+11,전라남도 영광군 법성면 진굴비길 154-13,57009,다마033079,126.4359383,35.36265187,법성포,2022-06-02,2022-06-05,문화축제,(사)법성포단오제보존회,(사)법성포단오제보존회,영광군+영광군의회+한빛원자력본부,061-356-4331,http://bspdanoje.co.kr,,2022-09-27,4970000,전라남도 영광군,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
KC488PO22N000012,행사,행사,불갑산상사화축제,전라남도,영광군,4687033026,불갑면 모악리,4687033000,불갑면,4.69E+11,전라남도 영광군 불갑면 불갑사로 450,57058,다라135897,126.5500476,35.19967508,불갑면,2022-09-16,2022-09-25,문화축제,영광 불갑산상사화축제 집행위원회,영광 불갑산상사화축제 추진위원회,영광군+영광군의회+한빛원자력본부,061-350-5752,http://상사화축제.com,,2022-09-27,4970000,전라남도 영광군,20220927,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220927
