SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37378,2023-09,416,김포예술제,김포예술제,370,문화축제
37585,2023-09,314,우륵문화제,우륵문화제,22840,문화축제
37228,2023-09,997,2014 안양시민축제,안양시민축제,5950,문화축제
37229,2023-09,992,2015 안양 시민축제,안양시민축제,5950,문화축제
37230,2023-09,396,2016 대가야체험축제,대가야체험축제,13,문화축제
37231,2023-09,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
37232,2023-09,994,2016 안양 시민축제,안양시민축제,5950,문화축제
37233,2023-09,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,7890,문화축제
37234,2023-09,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,410,문화축제
37235,2023-09,283,2017 겨울공주군밤축제,겨울공주군밤축제,120,문화축제
37236,2023-09,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
37237,2023-09,1001,2017 안양 시민축제,안양시민축제,5950,문화축제
37238,2023-09,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,17,문화축제
37239,2023-09,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,700,문화축제
37240,2023-09,4,2017 영동곶감축제,영동곶감축제,640,문화축제
37241,2023-09,385,2017 음식 문화축제,음식문화축제,470,문화축제
37242,2023-09,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
37243,2023-09,287,2018 계룡산산신제,계룡산산신제,13,문화축제
37244,2023-09,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,80,문화축제
37245,2023-09,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
37246,2023-09,290,2018 마곡사토요무대,마곡사토요무대,20,문화축제
37247,2023-09,1123,2018 무안황토갯벌축제,무안황토갯벌축제,40,문화축제
37248,2023-09,284,2018 백제어울마당,백제어울마당,40,문화축제
37249,2023-09,799,2018 안산 김홍도축제,안산김홍도축제,2610,문화축제
37250,2023-09,1005,2018 안양 시민축제,안양시민축제,5950,문화축제
37251,2023-09,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,17,문화축제
37252,2023-09,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,15,문화축제
37253,2023-09,386,2018 음식 문화축제,음식문화축제,470,문화축제
37254,2023-09,501,2018 전주비빔밥축제,전주비빔밥축제,8320,문화축제
37255,2023-09,463,2018 제2회 광진교 페스티벌,광진교페스티벌,12,문화축제
37256,2023-09,444,2018 종로한복축제,종로한복축제,710,문화축제
37257,2023-09,1094,2019 강남페스티벌,강남페스티벌,12640,문화축제
37258,2023-09,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
37259,2023-09,296,2019 계룡산산신제,계룡산산신제,13,문화축제
37260,2023-09,609,2019 고양가을꽃축제,고양가을꽃축제,46450,문화축제
37261,2023-09,597,2019 고양국제꽃박람회,고양국제꽃박람회,1890,문화축제
37262,2023-09,602,2019 고양행주문화제,고양행주문화제,190,문화축제
37263,2023-09,610,2019 고양호수예술축제,고양호수예술축제,9840,문화축제
37264,2023-09,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,17,문화축제
